Feature1,Feature2,Correlation,Abs_Correlation
dummy,trestbps,1.0,1.0
trestbpd,dummy,0.9687083641498526,0.9687083641498526
trestbpd,trestbps,0.9687083641498526,0.9687083641498526
trestbpd,ekgyr,0.9416552451604815,0.9416552451604815
tpeakbpd,tpeakbps,0.9376676137272157,0.9376676137272157
dummy,ekgyr,0.9309822797998203,0.9309822797998203
ekgyr,trestbps,0.9309822797998203,0.9309822797998203
trestbpd,tpeakbpd,0.9287909361548323,0.9287909361548323
trestbpd,tpeakbps,0.9275501643037698,0.9275501643037698
dummy,tpeakbps,0.9258018457139049,0.9258018457139049
tpeakbps,trestbps,0.9258018457139049,0.9258018457139049
tpeakbps,ekgyr,0.9240551268393459,0.9240551268393459
tpeakbpd,ekgyr,0.9159096959522394,0.9159096959522394
thalrest,thalach,0.9116992579207848,0.9116992579207848
tpeakbpd,trestbps,0.9089912253084851,0.9089912253084851
dummy,tpeakbpd,0.9089912253084851,0.9089912253084851
thalach,ekgyr,0.9074705231383503,0.9074705231383503
thalrest,ekgyr,0.9062780648040406,0.9062780648040406
tpeakbps,thalach,0.8947537217308462,0.8947537217308462
trestbpd,thalrest,0.8904890651659001,0.8904890651659001
trestbpd,thalach,0.8852288018058386,0.8852288018058386
cmo,ekgmo,0.8764001878426364,0.8764001878426364
tpeakbps,thalrest,0.8702540610022574,0.8702540610022574
thalrest,trestbps,0.8701705713620086,0.8701705713620086
dummy,thalrest,0.8701705713620086,0.8701705713620086
tpeakbpd,thalrest,0.8627622185293407,0.8627622185293407
dummy,thalach,0.8605441876564071,0.8605441876564071
thalach,trestbps,0.8605441876564071,0.8605441876564071
tpeakbpd,thalach,0.8435487045098131,0.8435487045098131
relrest,painexer,0.8212953134717084,0.8212953134717084
cyr,ekgyr,0.8093820880670283,0.8093820880670283
thalach,thaldur,0.7780358351882689,0.7780358351882689
cyr,trestbpd,0.7681034014365673,0.7681034014365673
cyr,cp,0.7647355047892297,0.7647355047892297
cyr,trestbps,0.7623200941096235,0.7623200941096235
